REPLACE0,REPLACE1,REPLACE2,REPLACE3,Type,REPLACE4,REPLACE5,REPLACE6,REPLACE7,REPLACE8,REPLACE9,REPLACE10,REPLACE11,REPLACE12,REPLACE13,REPLACE14,REPLACE15,REPLACE16,REPLACE17,REPLACE18
LegandExp_171B,ODP,Site_1052,Hole_1052E,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records1_Eiffellithus_turriseiffelii,None,None,None,None,665.65,655.8,675.5,103.13,3.0939,103.13,None,Neptune
LegandExp_198,ODP,Site_1207,Hole_1207B,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records2_Eiffellithus_turriseiffelii,None,28-CC,29-CC,None,419.465,417.23,421.7,103.13,3.0939,103.13,None,Neptune
LegandExp_198,ODP,Site_1208,Hole_1208A,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records3_Eiffellithus_turriseiffelii,None,"41-CC,12","42-CC,20",None,379.52,376.14,382.9,103.13,3.0939,103.13,None,Neptune
LegandExp_198,ODP,Site_1212,Hole_1212B,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records4_Eiffellithus_turriseiffelii,None,27-CC,27-CC,None,207.4,207.4,207.4,103.13,3.0939,103.13,None,Neptune
LegandExp_198,ODP,Site_1213,Hole_1213A,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records5_Eiffellithus_turriseiffelii,None,19-CC,19-CC,None,170.24,170.24,170.24,103.13,3.0939,103.13,None,Neptune
LegandExp_198,ODP,Site_1214,Hole_1214A,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records6_Eiffellithus_turriseiffelii,None,"8-1,1","8-1,1",None,62.31,62.31,62.31,103.13,3.0939,103.13,None,Neptune
LegandExp_207,ODP,Site_1258,Hole_1258B,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records7_Eiffellithus_turriseiffelii,None,"57-CC,15","57-CC,15",None,458.9,458.9,458.9,103.13,3.0939,103.13,None,Neptune
LegandExp_207,ODP,Site_1258,Hole_1258C,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records8_Eiffellithus_turriseiffelii,None,"27-CC,19","28-CC,20",None,453.06,451.74,454.38,103.13,3.0939,103.13,None,Neptune
LegandExp_207,ODP,Site_1260,Hole_1260A,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records9_Eiffellithus_turriseiffelii,None,"52-CC,7","52-CC,7",None,477.56,477.56,477.56,103.13,3.0939,103.13,None,Neptune
LegandExp_207,ODP,Site_1260,Hole_1260B,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records10_Eiffellithus_turriseiffelii,None,"43-CC,0","43-CC,0",None,491.18,491.18,491.18,103.13,3.0939,103.13,None,Neptune
LegandExp_122,ODP,Site_762,Hole_762C,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records11_Eiffellithus_turriseiffelii,None,None,None,None,824.3,824.3,824.3,103.13,3.0939,103.13,None,Neptune
LegandExp_122,ODP,Site_763,Hole_763B,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records12_Eiffellithus_turriseiffelii,None,None,None,None,457.53,457.53,457.53,103.13,3.0939,103.13,None,Neptune
LegandExp_207,ODP,Site_1258,Hole_1258B,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records14_Eiffellithus_turriseiffelii,None,"57R-CC,15-20",None,mbsf,229.45,458.9,None,101.7,None,None,None,odp\Initial Reports\207_IR\IR207_05\Table T3.xlsx
LegandExp_207,ODP,Site_1260,Hole_1260A,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records15_Eiffellithus_turriseiffelii,None,"52R-CC,7-11",None,mbsf,436.385,432.13,440.64,101.7,None,None,None,odp\Initial Reports\207_IR\IR207_07\Table T3.xlsx
LegandExp_207,ODP,Site_1260,Hole_1260B,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records16_Eiffellithus_turriseiffelii,None,"43R-CC,0-6",None,mbsf,492.755,491.18,494.33,101.7,None,None,None,odp\Initial Reports\207_IR\IR207_07\Table T3.xlsx
LegandExp_207,ODP,Site_1261,Hole_1261A,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records17_Eiffellithus_turriseiffelii,None,"50R-3,0-2",None,mbsf,653.21,653.2,653.22,101.7,None,None,None,odp\Initial Reports\207_IR\IR207_08\Table T3.xlsx
LegandExp_198,ODP,Site_1207,Hole_1207B,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records18_Eiffellithus_turriseiffelii,None,None,29R-CC,mbsf,419.7,417.34,422.12,101.7,None,None,None,odp\Initial Reports\198_IR\IR198_03\table5.xlsx
LegandExp_198,ODP,Site_1208,Hole_1208A,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records19_Eiffellithus_turriseiffelii,None,None,42X-CC,mbsf,379.5,376.14,382.9,101.7,None,None,None,odp\Initial Reports\198_IR\IR198_04\table3.xlsx
LegandExp_198,ODP,Site_1212,Hole_1212B,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records20_Eiffellithus_turriseiffelii,None,27H-CC,None,mbsf,207.35,None,None,101.7,None,None,None,odp\Initial Reports\198_IR\IR198_08\table2.xlsx
LegandExp_198,ODP,Site_1213,Hole_1213A,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records21_Eiffellithus_turriseiffelii,None,19R-CC,None,mbsf,170.13,None,None,101.7,None,None,None,odp\Initial Reports\198_IR\IR198_09\table5.xlsx
LegandExp_198,ODP,Site_1213,Hole_1213B,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records22_Eiffellithus_turriseiffelii,None,None,None,mbsf,179.61,None,None,101.7,None,None,None,odp\Initial Reports\198_IR\IR198_09\table5.xlsx
LegandExp_198,ODP,Site_1214,Hole_None,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records23_Eiffellithus_turriseiffelii,None,"8R-1,1",None,mbsf,62.37,None,None,101.7,None,None,None,odp\Initial Reports\198_IR\IR198_10\table4.xlsx
LegandExp_207,ODP,Site_1257,Hole_1257A,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records24_Eiffellithus_turriseiffelii,None,"24X-CC,42",None,mbsf,215.84,212.42,219.26,101.7,None,None,None,odp\Initial Reports\207_IR\IR207_04\Table T3.xlsx
LegandExp_14,DSDP,Site_135,Hole_135,B,Eiffellithus_turriseiffelii_Base_Depth,Eiffellithus turriseiffelii Base Depth,Records25_Eiffellithus_turriseiffelii,None,"14_135,7-1,145","14_135,9-1,113",None,559.29,432.45,686.13,103.13,None,None,None,NeptuneSB
