index,REPLACE1,REPLACE2,REPLACE3,REPLACE4,REPLACE5,REPLACE6,REPLACE7,REPLACE8,REPLACE9,REPLACE10,REPLACE11,REPLACE12,REPLACE13,REPLACE14,REPLACE15,REPLACE16,REPLACE17,REPLACE18,REPLACE19
1,Eiffellithus_turriseiffelii,Eiffellithus turriseiffelii,"(Deflandre in Deflandre & Fert, 1954) Reinhardt, 1965",Eiffellithus,Eiffellithus_turriseiffelii_Geologic_Range,Eiffellithus turriseiffelii Geologic Range,Eiffellithus_turriseiffelii_Base_Time,Eiffellithus turriseiffelii Base Time,Eiffellithus_turriseiffelii_Top_Time,Eiffellithus turriseiffelii Top Time,Eiffellithus_turriseiffelii_Base_NumericTime,Eiffellithus turriseiffelii Base NumericTime,Eiffellithus_turriseiffelii_Top_NumericTime,Eiffellithus turriseiffelii Top NumericTime,103.13,103.27,Null,Null,Z.  turriseiffeli
2,Hayesites_albiensis,Hayesites albiensis,"Manivit, 1971",Hayesites,Hayesites_albiensis_Geologic_Range,Hayesites albiensis Geologic Range,Hayesites_albiensis_Base_Time,Hayesites albiensis Base Time,Hayesites_albiensis_Top_Time,Hayesites albiensis Top Time,Hayesites_albiensis_Base_NumericTime,Hayesites albiensis Base NumericTime,Hayesites_albiensis_Top_NumericTime,Hayesites albiensis Top NumericTime,112.65,Null,100.84,100.69,H.  albiensis
3,Calculites_anfractus,Calculites anfractus,"(Wind & Wise in Wise & Wind, 1977) Perch Nielsen, 1984",Calculites,Calculites_anfractus_Geologic_Range,Calculites anfractus Geologic Range,Calculites_anfractus_Base_Time,Calculites anfractus Base Time,Calculites_anfractus_Top_Time,Calculites anfractus Top Time,Calculites_anfractus_Base_NumericTime,Calculites anfractus Base NumericTime,Calculites_anfractus_Top_NumericTime,Calculites anfractus Top NumericTime,Null,100.54(rare),Null,Null,P.  additus
4,Corollithion_kennedyi,Corollithion kennedyi,"Crux, 1981",Corollithion,Corollithion_kennedyi_Geologic_Range,Corollithion kennedyi Geologic Range,Corollithion_kennedyi_Base_Time,Corollithion kennedyi Base Time,Corollithion_kennedyi_Top_Time,Corollithion kennedyi Top Time,Corollithion_kennedyi_Base_NumericTime,Corollithion kennedyi Base NumericTime,Corollithion_kennedyi_Top_NumericTime,Corollithion kennedyi Top NumericTime,100.45,100.07,94.64,94.64,C.  kennedyi
5,Watznaueria_britannica,Watznaueria britannica,"(Stradner, 1963) Reinhardt, 1964",Watznaueria,Watznaueria_britannica_Geologic_Range,Watznaueria britannica Geologic Range,Watznaueria_britannica_Base_Time,Watznaueria britannica Base Time,Watznaueria_britannica_Top_Time,Watznaueria britannica Top Time,Watznaueria_britannica_Base_NumericTime,Watznaueria britannica Base NumericTime,Watznaueria_britannica_Top_NumericTime,Watznaueria britannica Top NumericTime,172.3,172.3,Null,Null,C.  britannicus
6,Gartnerago_chiasta,Gartnerago chiasta,"Varol, 1991",Gartnerago,Gartnerago_chiasta_Geologic_Range,Gartnerago chiasta Geologic Range,Gartnerago_chiasta_Base_Time,Gartnerago chiasta Base Time,Gartnerago_chiasta_Top_Time,Gartnerago chiasta Top Time,Gartnerago_chiasta_Base_NumericTime,Gartnerago chiasta Base NumericTime,Gartnerago_chiasta_Top_NumericTime,Gartnerago chiasta Top NumericTime,Null,Null,99.94,99.94,G.  chiasta
7,Kamptnerius_magnificus,Kamptnerius magnificus,"(Jeremiah, 2001) Lees & Bown 2016",Kamptnerius,Kamptnerius_magnificus_Geologic_Range,Kamptnerius magnificus Geologic Range,Kamptnerius_magnificus_Base_Time,Kamptnerius magnificus Base Time,Kamptnerius_magnificus_Top_Time,Kamptnerius magnificus Top Time,Kamptnerius_magnificus_Base_NumericTime,Kamptnerius magnificus Base NumericTime,Kamptnerius_magnificus_Top_NumericTime,Kamptnerius magnificus Top NumericTime,90.36,92.99(FCO),Null,Null,C.  bosunensis
8,Helicolithus_anceps,Helicolithus anceps,"Worsley, 1971",Helicolithus,Helicolithus_anceps_Geologic_Range,Helicolithus anceps Geologic Range,Helicolithus_anceps_Base_Time,Helicolithus anceps Base Time,Helicolithus_anceps_Top_Time,Helicolithus anceps Top Time,Helicolithus_anceps_Base_NumericTime,Helicolithus anceps Base NumericTime,Helicolithus_anceps_Top_NumericTime,Helicolithus anceps Top NumericTime,Null,99.92(rare),Null,Null,H.  staurolithina
9,Gartnerago_segmentatum,Gartnerago segmentatum,"Jakubowski, 1986",Gartnerago,Gartnerago_segmentatum_Geologic_Range,Gartnerago segmentatum Geologic Range,Gartnerago_segmentatum_Base_Time,Gartnerago segmentatum Base Time,Gartnerago_segmentatum_Top_Time,Gartnerago segmentatum Top Time,Gartnerago_segmentatum_Base_NumericTime,Gartnerago segmentatum Base NumericTime,Gartnerago_segmentatum_Top_NumericTime,Gartnerago segmentatum Top NumericTime,98.26,98.26,Null,Null,G.  praeobliquum
10,Zeugrhabdotus_xenotus,Zeugrhabdotus xenotus,"(Stover, 1966) Burnett in Gale et al., 1996",Zeugrhabdotus,Zeugrhabdotus_xenotus_Geologic_Range,Zeugrhabdotus xenotus Geologic Range,Zeugrhabdotus_xenotus_Base_Time,Zeugrhabdotus xenotus Base Time,Zeugrhabdotus_xenotus_Top_Time,Zeugrhabdotus xenotus Top Time,Zeugrhabdotus_xenotus_Base_NumericTime,Zeugrhabdotus xenotus Base NumericTime,Zeugrhabdotus_xenotus_Top_NumericTime,Zeugrhabdotus xenotus Top NumericTime,Null,Null,97.73,97.73,Z.  xenotus
