index,REPLACE1,REPLACE2,REPLACE3,REPLACE4,REPLACE5,REPLACE6
1,Albian,UC0,FO of Eiffellithus turriseiffelii to the FO of Corollithion kennedyi.,Eiffellithus_turriseiffelii_Base_Time,Corollithion_kennedyi_Base_Time,Equivalent to subzone NC10A of Bralower et al. (1993).
2,Albian,UC0a,FO of Eiffellithus turriseiffelii to the LO of Hayesites albiensis.,Eiffellithus_turriseiffelii_Base_Time,Hayesites_albiensis_Top_Time,Manivit et al. (1977).
3,Albian,UC0b,LO of Hayesites albiensis to the FO of Calculites anfractus.,Hayesites_albiensis_Top_Time,Calculites_anfractus_Base_Time,Burnett_. herein.
4,Cenomanian,UC1,FO of Corollithion kennedyi to the FO of Gartnerago segmentatum (= G. obliquum of many authors).,Corollithion_kennedyi_Base_Time,Gartnerago_segmentatum_Base_Time,Burnett_. herein.
5,Cenomanian,UCla,FO of Corollithion kennedyi to the LO of Watznaueria britannica.,Corollithion_kennedyi_Base_Time,Watznaueria_britannica_Top_Time,Burnett_. herein.
6,Cenomanian,UClb,LO of Watznaueria britannica to the LO of Gartnerago chiasta.,Watznaueria_britannica_Top_Time,Gartnerago_chiasta_Top_Time,Burnett_. herein.
7,Null,UClc,Null,Null,Null,Null
8,Cenomanian,UCld,FO of rare and sporadic Kamptnerius magnificus or the FO of Helicolithus anceps to the FO of Gartnerago segmentatum.,Kamptnerius_magnificus_Base_Time,Gartnerago_segmentatum_Base_Time,Burnett_. herein.
9,Cenomanian,UC2,FO of Gartnerago segmentatum (= G. obliquum of many authors) to the FO of Lithraphidites acutus.,Gartnerago_segmentatum_Base_Time,Lithraphidites_acutus_Base_Time,Burnett herein.
10,Cenomanian,UC2a,FO of Gartnerago segmentatum to the LO of Zeugrhabdotus xenotus.,Gartnerago_segmentatum_Base_Time,Zeugrhabdotus_xenotus_Top_Time,Burnett_. herein.
11,Cenomanian,UC2b,LO of Zeugrhabdotus xenotus to the FO of Cylindralithus sculptus.,Zeugrhabdotus_xenotus_Top_Time,Cylindralithus_sculptus_Base_Time,Burnett_. herein.
12,Cenomanian,UC2c,FO of Cylindralithus sculptus to the FO of Lithraphidites acutus.,Cylindralithus_sculptus_Base_Time,Lithraphidites_acutus_Base_Time,Burnett_. herein.
13,Cenomanian,UC3,FO of Lithraphidites acutus to the FO of Cylindralithus biarcus.,Lithraphidites_acutus_Base_Time,Cylindralithus_biarcus_Base_Time,Burnett_. herein.
14,Cenomanian,UC3a,FO of Lithraphidites acutus to the LO of Gartnerago theta.,Cylindralithus_biarcus_Base_Time,Gartnerago_theta_Top_Time,Burnett_. herein.
15,Cenomanian,UC3b,LO of Gartnerago theta to the LO of Staurolithites gausorhethium.,Gartnerago_theta_Top_Time,Staurolithites_gausorhethium_Top_Time,Burnett_. herein.
16,Cenomanian,UC3c,LO of Staurolithites gausorhethium to the LO of Gartnerago nanum.,Staurolithites_gausorhethium_Top_Time,Gartnerago_nanum_Top_Time,Burnett_. herein.
17,Cenomanian,UC3d,LO of Gartnerago nanum to the LO of Carollithion kennedyi.,Gartnerago_nanum_Top_Time,Corollithion_kennedyi_Top_Time,Burnett_. herein.
18,Cenomanian,UC3e,LO of Corollithion kennedyi to the FO of Cylindralithus biarcus.,Corollithion_kennedyi_Top_Time,Cylindralithus_biarcus_Base_Time,Burnett_. herein.
19,Cenomanian,UC4,FO of Cylindralithus biarcus to the LO of Lithraphidites acutus.,Cylindralithus_biarcus_Base_Time,Lithraphidites_acutus_Top_Time,Burnett_. herein.
20,Cenomanian,UC4a,FO of Cylindralithus biarcus to the LO of Cretarhabdus striatus (= Cretarhabdus loriei of some authors).,Cylindralithus_biarcus_Base_Time,Cretarhabdus_striatus_Top_Time,Burnett_. herein.
21,Cenomanian,UC4b,LO of Cretarhabdus striatus (= Cretarhabdus loriei of some authors) to the LO of Lithraphidites acutus.,Cretarhabdus_striatus_Top_Time,Lithraphidites_acutus_Top_Time,Burnett_. herein.
22,Cenomanian,UC5,LO of Lithraphidites acutus to the LO of Helenea chiastia (= Microstaurus chiastius of many authors).,Lithraphidites_acutus_Top_Time,Helenea_chiastia_Top_Time,Burnett_. herein.
23,Cenomanian,UC5a,LO of Lithraphidites acutus to the LO of Axopodorhabdus albianus.,Lithraphidites_acutus_Top_Time,Axopodorhabdus_albianus_Top_Time,Burnett_. herein.
24,Cenomanian,UC5b,LO of Axopodorhabdus albianus to the FO of Quadrum intermedium with 5 elements in each cycle.,Axopodorhabdus_albianus_Top_Time,Quadrum_intermedium_Base_Time,Burnett_. herein.
25,Cenomanian,UC5c,FO of Quadrum intermedium with 5 elements in each cycle to the LO of Helenea chiastia.,Quadrum_intermedium_Base_Time,Helenea_chiastia_Top_Time,Burnett_. herein.
26,Turonian,UC6,LO of Helenea chiastia (= Microstaurus chiastius of many authors) to the FO of Quadrum gartneri.,Helenea_chiastia_Top_Time,Quadrum_gartneri_Base_Time,Equivalent to subzone CC10b of Perch- Nielsen (1985a).
27,Turonian,UC6a,LO of Helenea chiastia to the FO of Eprolithus moratus (= E. eptapetalus of Varol_. 1992).,Helenea_chiastia_Top_Time,Eprolithus_moratus_Base_Time,Burnett_. herein.
28,Turonian,UC6b,FO of Eprolithus moratus to the FO of Quadrum gartneri.,Eprolithus_moratus_Base_Time,Quadrum_gartneri_Base_Time,Burnett_. herein.
29,Turonian,UC7,FO of Quadrum gartneri to the FO of Eiffellithus eximius.,Quadrum_gartneri_Base_Time,Eiffellithus_eximius_Base_Time,Equivalent to zone CC11 sensu Perch- Nielsen (1979a).
30,Turonian,UC8,FO of Eiffellithus eximius to the FO of Lithastrinus septenarius (= L. moratus of Varol_. 1992).,Eiffellithus_eximius_Base_Time,Lithastrinus_septenarius_Base_Time,Burnett_. herein.
31,Turonian,UC8a,FO of Eiffellithus eximius to the FO Lucianorhabdus quadrifidus.,Eiffellithus_eximius_Base_Time,Lucianorhabdus_quadrifidus_Base_Time,Burnett_. herein.
32,Turonian,UC8b,FO of Lucianorhabdus quadrifidus to the FO of Lit hastrinus septenarius.,Lucianorhabdus_quadrifidus_Base_Time,Eiffellithus_eximius_Base_Time,Burnett_. herein.
33,Turonian,UC8aAP,FO of Eiffellithus eximius to the FO of Thiersteinia ecclesiastica.,Eiffellithus_eximius_Base_Time,Thiersteinia_ecclesiastica_Base_Time,Burnett_. herein.
34,Turonian,UC8bAP,FO of Thiersteinia ecclesiastica to the FO of Lithastrinus septenarius.,Thiersteinia_ecclesiastica_Base_Time,Lithastrinus_septenarius_Base_Time,Burnett_. herein.
35,Turonian,UC9,FO of Lithastrinus septenarius (= L. moratus of Varol_. 1992) to the FO of Micula stauropora.,Lithastrinus_septenarius_Base_Time,Micula_stauropora_Base_Time,Equivalent to subzone CC13b of Pcrch- Niclsen (1985a).
36,Turonian,UC9a,FO of Lithastrinus septenarius to the FO of Zeugrhabdotus biperforatus.,Lithastrinus_septenarius_Base_Time,Zeugrhabdotus_biperforatus_Base_Time,Burnett_. herein.
37,Turonian,UC9b,FO of Zeugrhabdotus biperforatus to the FO of Broinsonia parca expansa (=?B. lacunosa and Aspidolithus parcus expansus of some authors).,Zeugrhabdotus_biperforatus_Base_Time,Broinsonia_parca_expansa_Base_Time,Burnett_. herein.
38,Turonian,UC9c,FO of Broinsonia parca expansa (= ?B. lacunosa and Aspidolithus parcus expansus of some authors) to the FO of Micula staurophora.,Broinsonia_parca_expansa_Base_Time,Micula_stauropora_Base_Time,Burnett_. herein.
39,Turonian,UC9aAP,FO of Lithastrinus septenarius to the FO of Zeugrhabdotus kerguelenensis.,Lithastrinus_septenarius_Base_Time,Zeugrhabdotus_kerguelenensis_Base_Time,Burnett_. herein.
40,Turonian,UC9bAP,FO of Zeugrhabdotus kerguelenensis to the FO of Micula stauropora.,Zeugrhabdotus_kerguelenensis_Base_Time,Micula_stauropora_Base_Time,Burnett_. herein.
41,Coniacian,UC10,FO of Micula stauropora to the FO of Lithastrinus grillii.,Micula_stauropora_Base_Time,Lithastrinus_grillii_Base_Time,Approximately equivalent to zone CC14 sensu Perch-Nielsen (1985a).
42,Coniacian,UC10aAP,FO of Micula staurophora to the LO of Zeugrhabdotus kerguelenensis.,Micula_stauropora_Base_Time,Zeugrhabdotus_kerguelenensis_Top_Time,Burnett_. herein.
43,Coniacian,UC10bAP,LO of Zeugrhabdotus kerguelenensis to the LO of Quadrum gartneri.,Zeugrhabdotus_kerguelenensis_Top_Time,Quadrum_gartneri_Top_Time,Burnett_. herein.
44,Coniacian,UC11,FO of Lithastrinus grillii to the LO of Lithastrinus septenarius (= L. moratus of Varol_. 1992).,Lithastrinus_grillii_Base_Time,Lithastrinus_septenarius_Top_Time,Approximately equivalent to zone CC15 sensu Perch-Nielsen (1985a).
45,Coniacian,UC11a,FO of Lithastrinus grillii to the LO of Quadrum gartneri.,Lithastrinus_grillii_Base_Time,Quadrum_gartneri_Top_Time,Burnett_. herein.
46,Coniacian,UC11b,LO of Quadrum gartneri to the FO of Lucianorhabdus cayeuxii.,Quadrum_gartneri_Top_Time,Lucianorhabdus_cayeuxii_Base_Time,Burnett_. herein.
47,Coniacian,UC11c,FO of Lucianorhabdus cayeuxii to the LO of Lithastrinus septenarius.,Lucianorhabdus_cayeuxii_Base_Time,Lithastrinus_septenarius_Top_Time,Burnett_. herein.
48,Santonian,UC12,LO of Lithastrinus septenarius (= L. moratus of Varol_. 1992) to the FO of Arkhangelskiella cymbiformis sensu Burnett_. 1998b.,Lithastrinus_septenarius_Top_Time,Arkhangelskiella_cymbiformis_Base_Time,Burnett_. herein.
